cluster id	num of members	protein name	centroid genome	centroid locus	role_ids	attributes	7978mff	1279779	LAC4b	B8300	A1296	HWBA8	AB031	ab736	manniia	KAB07	bH12OA2	A1	JAB0715	OMTU433	3207	6200	B8342	ABNIH28	ZW851	
1849	19	histidine-type phosphatase	bH12OA2	LX00_RS08265	0		ACX60_RS09635	ABD1_RS08455	RR41_RS12495	AB987_RS17200	BS103_RS08370	B7L46_RS17885	IX88_RS10080	A4U85_RS09285	ABCIP7010_RS08325	KAB07_RS08825	LX00_RS08265	ABA1_RS09010	BJAB0715_RS09365	IOMTU433_RS09975	Aba3207_RS01050	RU84_RS08995	AB895_RS16795	C2U32_RS04670	P795_RS09030	
1850	19	histidine phosphatase family protein	bH12OA2	LX00_RS08260	0		ACX60_RS09640	ABD1_RS08450	RR41_RS12490	AB987_RS17205	BS103_RS08365	B7L46_RS17880	IX88_RS10075	A4U85_RS09290	ABCIP7010_RS08320	KAB07_RS08820	LX00_RS08260	ABA1_RS09005	BJAB0715_RS09360	IOMTU433_RS09980	Aba3207_RS01045	RU84_RS09000	AB895_RS16790	C2U32_RS04665	P795_RS09035	
1851	19	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	bH12OA2	LX00_RS08255	0	FS	ACX60_RS09645	ABD1_RS08445	RR41_RS12485	AB987_RS17210	BS103_RS08360	B7L46_RS17875	IX88_RS10070	A4U85_RS09295	ABCIP7010_RS08315	KAB07_RS08815	LX00_RS08255	ABA1_RS09000	BJAB0715_RS09355	IOMTU433_RS09985	Aba3207_RS01040	RU84_RS09005	AB895_RS16785	C2U32_RS04660	P795_RS09040	
1852	19	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	B8300	AB987_RS17215	0		ACX60_RS09650	ABD1_RS08440	RR41_RS12480	AB987_RS17215	BS103_RS08355	B7L46_RS17860	IX88_RS10065	A4U85_RS09300	ABCIP7010_RS08310	KAB07_RS08810	LX00_RS08250	ABA1_RS08995	BJAB0715_RS09350	IOMTU433_RS09990	Aba3207_RS01035	RU84_RS09010	AB895_RS16780	C2U32_RS04655	P795_RS09045	
1853	19	hypothetical protein	bH12OA2	LX00_RS08245	0		ACX60_RS09655	ABD1_RS08435	RR41_RS12475	AB987_RS17220	BS103_RS08350	B7L46_RS17855	IX88_RS10060	A4U85_RS09305	ABCIP7010_RS08305	KAB07_RS08805	LX00_RS08245	ABA1_RS08990	BJAB0715_RS09345	IOMTU433_RS09995	Aba3207_RS19825	RU84_RS09015	AB895_RS16775	C2U32_RS04650	P795_RS09050	
1854	19	hypothetical protein	1279779	ABD1_RS08430	0		ACX60_RS09660	ABD1_RS08430	RR41_RS12470	AB987_RS17225	BS103_RS08345	B7L46_RS17850	IX88_RS10055	A4U85_RS09310	ABCIP7010_RS08300	KAB07_RS08800	LX00_RS08240	ABA1_RS08985	BJAB0715_RS09340	IOMTU433_RS10000	Aba3207_RS01020	RU84_RS09020	AB895_RS16770	C2U32_RS04645	P795_RS09055	
1855	19	N-acetyltransferase	7978mff	ACX60_RS09665	0		ACX60_RS09665	ABD1_RS08425	RR41_RS12465	AB987_RS17230	BS103_RS08340	B7L46_RS17840	IX88_RS10050	A4U85_RS09315	ABCIP7010_RS08295	KAB07_RS08795	LX00_RS08235	ABA1_RS08980	BJAB0715_RS09335	IOMTU433_RS10005	Aba3207_RS01015	RU84_RS09025	AB895_RS16765	C2U32_RS04640	P795_RS09060	
1856	19	hypothetical protein	HWBA8	B7L46_RS17835	0		ACX60_RS09670	ABD1_RS08420	RR41_RS12460	AB987_RS17235	BS103_RS08335	B7L46_RS17835	IX88_RS10045	A4U85_RS09320	ABCIP7010_RS08290	KAB07_RS08790	LX00_RS08230	ABA1_RS08975	BJAB0715_RS09330	IOMTU433_RS10010	Aba3207_RS01010	RU84_RS09030	AB895_RS16760	C2U32_RS04635	P795_RS09065	
1857	18	PepSY domain-containing protein	ABNIH28	C2U32_RS04630	0		ACX60_RS09675	ABD1_RS08415	RR41_RS12455	AB987_RS17240	BS103_RS08330	B7L46_RS17830	IX88_RS10040	A4U85_RS09325	ABCIP7010_RS08285	KAB07_RS08785	LX00_RS08225	ABA1_RS08970	BJAB0715_RS09325	IOMTU433_RS10015	Aba3207_RS01005	RU84_RS09035	AB895_RS16755	C2U32_RS04630		
1858	18	hypothetical protein	7978mff	ACX60_RS09680	0		ACX60_RS09680		RR41_RS12450	AB987_RS17245	BS103_RS08325	B7L46_RS17825	IX88_RS10035	A4U85_RS09330	ABCIP7010_RS08280	KAB07_RS08780	LX00_RS08220	ABA1_RS08965	BJAB0715_RS09320	IOMTU433_RS10020	Aba3207_RS01000	RU84_RS09040	AB895_RS16750	C2U32_RS04625	P795_RS09075	
1859	19	TonB-dependent receptor	bH12OA2	LX00_RS08215	0		ACX60_RS09685	ABD1_RS08410	RR41_RS12445	AB987_RS17250	BS103_RS08320	B7L46_RS17820	IX88_RS10030	A4U85_RS09335	ABCIP7010_RS08275	KAB07_RS08775	LX00_RS08215	ABA1_RS08960	BJAB0715_RS09315	IOMTU433_RS10025	Aba3207_RS00995	RU84_RS09045	AB895_RS16745	C2U32_RS04620	P795_RS09080	
1860	19	demethylmenaquinone methyltransferase	LAC4b	RR41_RS12440	0		ACX60_RS09690	ABD1_RS08405	RR41_RS12440	AB987_RS17255	BS103_RS08315	B7L46_RS17815	IX88_RS10025	A4U85_RS09340	ABCIP7010_RS08270	KAB07_RS08770	LX00_RS08210	ABA1_RS08955	BJAB0715_RS09310	IOMTU433_RS10030	Aba3207_RS00990	RU84_RS09050	AB895_RS16740	C2U32_RS04615	P795_RS09085	
1861	19	(2Fe-2S)-binding protein	HWBA8	B7L46_RS17810	0		ACX60_RS09695	ABD1_RS08400	RR41_RS12435	AB987_RS17260	BS103_RS08310	B7L46_RS17810	IX88_RS10020	A4U85_RS09345	ABCIP7010_RS08265	KAB07_RS08765	LX00_RS08205	ABA1_RS08950	BJAB0715_RS09305	IOMTU433_RS10035	Aba3207_RS00985	RU84_RS09055	AB895_RS16735	C2U32_RS04610	P795_RS09090	
1862	19	IucA/IucC family siderophore biosynthesis protein	KAB07	KAB07_RS08760	0		ACX60_RS09700	ABD1_RS08395	RR41_RS12430	AB987_RS17265	BS103_RS08305	B7L46_RS17805	IX88_RS10015	A4U85_RS09350	ABCIP7010_RS08260	KAB07_RS08760	LX00_RS08200	ABA1_RS08945	BJAB0715_RS09300	IOMTU433_RS10040	Aba3207_RS00980	RU84_RS09060	AB895_RS16730	C2U32_RS04605	P795_RS09095	
1863	19	siderophore achromobactin biosynthesis protein AcsC	KAB07	KAB07_RS08755	0		ACX60_RS09705	ABD1_RS08390	RR41_RS12425	AB987_RS17270	BS103_RS08300	B7L46_RS17800	IX88_RS10010	A4U85_RS09355	ABCIP7010_RS08255	KAB07_RS08755	LX00_RS08195	ABA1_RS08940	BJAB0715_RS09295	IOMTU433_RS10045	Aba3207_RS00975	RU84_RS09065	AB895_RS16725	C2U32_RS04600	P795_RS09100	
1864	19	MFS transporter	manniia	ABCIP7010_RS08250	0		ACX60_RS09710	ABD1_RS08385	RR41_RS12420	AB987_RS17275	BS103_RS08295	B7L46_RS17795	IX88_RS10005	A4U85_RS09360	ABCIP7010_RS08250	KAB07_RS08750	LX00_RS08190	ABA1_RS08935	BJAB0715_RS09290	IOMTU433_RS10050	Aba3207_RS00970	RU84_RS09070	AB895_RS16720	C2U32_RS04595	P795_RS09105	
1865	19	lysine/ornithine N-monooxygenase	1279779	ABD1_RS08380	0	FG-In	ACX60_RS09715	ABD1_RS08380	RR41_RS12415	AB987_RS17280	BS103_RS08290	B7L46_RS17790	IX88_RS10000	A4U85_RS09365	ABCIP7010_RS08245	KAB07_RS08745	LX00_RS08185	ABA1_RS08930	BJAB0715_RS09285	IOMTU433_RS10055	Aba3207_RS00965	RU84_RS09075	AB895_RS16715	C2U32_RS04590	P795_RS09110	
1866	17	IucA/IucC family siderophore biosynthesis protein	ZW851	P795_RS09115	0		ACX60_RS09720	ABD1_RS08375	RR41_RS12410		BS103_RS08285	B7L46_RS17775		A4U85_RS09370	ABCIP7010_RS08240	KAB07_RS08740	LX00_RS08180	ABA1_RS08925	BJAB0715_RS09280	IOMTU433_RS10060	Aba3207_RS00960	RU84_RS09080	AB895_RS16710	C2U32_RS04585	P795_RS09115	
1867	19	Cys-tRNA(Pro) deacylase	7978mff	ACX60_RS09725	0		ACX60_RS09725	ABD1_RS08370	RR41_RS12405	AB987_RS17290	BS103_RS08280	B7L46_RS17770	IX88_RS09990	A4U85_RS09375	ABCIP7010_RS08235	KAB07_RS08735	LX00_RS08175	ABA1_RS08920	BJAB0715_RS09275	IOMTU433_RS10065	Aba3207_RS00955	RU84_RS09085	AB895_RS16705	C2U32_RS04580	P795_RS09120	
1868	19	hypothetical protein	LAC4b	RR41_RS12400	0		ACX60_RS09730	ABD1_RS08365	RR41_RS12400	AB987_RS17295	BS103_RS08275	B7L46_RS17765	IX88_RS09985	A4U85_RS09380	ABCIP7010_RS08230	KAB07_RS08730	LX00_RS08170	ABA1_RS08915	BJAB0715_RS09270	IOMTU433_RS10070	Aba3207_RS00950	RU84_RS09090	AB895_RS16700	C2U32_RS04575	P795_RS09125	
1869	19	ABC transporter	1279779	ABD1_RS08360	0		ACX60_RS09735	ABD1_RS08360	RR41_RS12395	AB987_RS17300	BS103_RS08270	B7L46_RS17760	IX88_RS09980	A4U85_RS09385	ABCIP7010_RS08225	KAB07_RS08725	LX00_RS08165	ABA1_RS08910	BJAB0715_RS09265	IOMTU433_RS10075	Aba3207_RS00945	RU84_RS09095	AB895_RS16695	C2U32_RS04570	P795_RS09130	
1870	19	acyl-CoA dehydrogenase	7978mff	ACX60_RS09740	0		ACX60_RS09740	ABD1_RS08355	RR41_RS12390	AB987_RS17305	BS103_RS08265	B7L46_RS17755	IX88_RS09975	A4U85_RS09390	ABCIP7010_RS08220	KAB07_RS08720	LX00_RS08160	ABA1_RS08905	BJAB0715_RS09260	IOMTU433_RS10080	Aba3207_RS00940	RU84_RS09100	AB895_RS16690	C2U32_RS04565	P795_RS09135	
1871	19	acyl-CoA dehydrogenase	7978mff	ACX60_RS09745	0		ACX60_RS09745	ABD1_RS08350	RR41_RS12385	AB987_RS17310	BS103_RS08260	B7L46_RS17750	IX88_RS09970	A4U85_RS09395	ABCIP7010_RS08215	KAB07_RS08715	LX00_RS08155	ABA1_RS08900	BJAB0715_RS09255	IOMTU433_RS10085	Aba3207_RS00935	RU84_RS09105	AB895_RS16685	C2U32_RS04560	P795_RS09140	
1872	18	alkane 1-monooxygenase	7978mff	ACX60_RS09750	0		ACX60_RS09750	ABD1_RS08345	RR41_RS12380	AB987_RS17315	BS103_RS08255	B7L46_RS17745	IX88_RS09965	A4U85_RS09400	ABCIP7010_RS08210	KAB07_RS08710	LX00_RS08150	ABA1_RS08895		IOMTU433_RS10090	Aba3207_RS00930	RU84_RS09110	AB895_RS16680	C2U32_RS04555	P795_RS09145	
1873	18	AraC family transcriptional regulator	LAC4b	RR41_RS12375	0	FG-In	ACX60_RS09755		RR41_RS12375	AB987_RS17325	BS103_RS08250	B7L46_RS17740	IX88_RS09960	A4U85_RS09405	ABCIP7010_RS08205	KAB07_RS08705	LX00_RS08145	ABA1_RS08890	BJAB0715_RS09245	IOMTU433_RS10095	Aba3207_RS00925	RU84_RS09115	AB895_RS16675	C2U32_RS04550	P795_RS09150	
1874	19	HU family DNA-binding protein	7978mff	ACX60_RS09765	0		ACX60_RS09765	ABD1_RS08330	RR41_RS12365	AB987_RS17335	BS103_RS08240	B7L46_RS17730	IX88_RS09950	A4U85_RS09415	ABCIP7010_RS08195	KAB07_RS08695	LX00_RS08135	ABA1_RS08880	BJAB0715_RS09235	IOMTU433_RS10105	Aba3207_RS00915	RU84_RS09125	AB895_RS16665	C2U32_RS04540	P795_RS09160	
1875	19	poly(hydroxyalcanoate) granule associated protein	7978mff	ACX60_RS09770	0		ACX60_RS09770	ABD1_RS08325	RR41_RS12360	AB987_RS17340	BS103_RS08235	B7L46_RS17725	IX88_RS09945	A4U85_RS09420	ABCIP7010_RS08190	KAB07_RS08690	LX00_RS08130	ABA1_RS08875	BJAB0715_RS09230	IOMTU433_RS10110	Aba3207_RS00910	RU84_RS09130	AB895_RS16660	C2U32_RS04535	P795_RS09165	
1876	19	hypothetical protein	7978mff	ACX60_RS09775	0		ACX60_RS09775	ABD1_RS08320	RR41_RS12355	AB987_RS17345	BS103_RS08230	B7L46_RS17720	IX88_RS09940	A4U85_RS09425	ABCIP7010_RS08185	KAB07_RS08685	LX00_RS08125	ABA1_RS08870	BJAB0715_RS09225	IOMTU433_RS10115	Aba3207_RS00905	RU84_RS09135	AB895_RS16655	C2U32_RS04530	P795_RS09170	
1877	19	transcriptional regulator	7978mff	ACX60_RS09780	0		ACX60_RS09780	ABD1_RS08315	RR41_RS12350	AB987_RS17350	BS103_RS08225	B7L46_RS17715	IX88_RS09935	A4U85_RS09430	ABCIP7010_RS08180	KAB07_RS08680	LX00_RS08120	ABA1_RS08865	BJAB0715_RS09220	IOMTU433_RS10120	Aba3207_RS00900	RU84_RS09140	AB895_RS16650	C2U32_RS04525	P795_RS09175	
1878	19	IscS subfamily cysteine desulfurase	7978mff	ACX60_RS09785	0		ACX60_RS09785	ABD1_RS08310	RR41_RS12345	AB987_RS17355	BS103_RS08220	B7L46_RS17710	IX88_RS09930	A4U85_RS09435	ABCIP7010_RS08175	KAB07_RS08675	LX00_RS08115	ABA1_RS08860	BJAB0715_RS09215	IOMTU433_RS10125	Aba3207_RS00895	RU84_RS09145	AB895_RS16645	C2U32_RS04520	P795_RS09180	
1879	19	Fe-S cluster assembly scaffold IscU	7978mff	ACX60_RS09790	0		ACX60_RS09790	ABD1_RS08305	RR41_RS12340	AB987_RS17360	BS103_RS08215	B7L46_RS17705	IX88_RS09925	A4U85_RS09440	ABCIP7010_RS08170	KAB07_RS08670	LX00_RS08110	ABA1_RS08855	BJAB0715_RS09210	IOMTU433_RS10130	Aba3207_RS00890	RU84_RS09150	AB895_RS16640	C2U32_RS04515	P795_RS09185	
1880	19	iron-sulfur cluster assembly protein IscA	7978mff	ACX60_RS09795	0		ACX60_RS09795	ABD1_RS08300	RR41_RS12335	AB987_RS17365	BS103_RS08210	B7L46_RS17700	IX88_RS09920	A4U85_RS09445	ABCIP7010_RS08165	KAB07_RS08665	LX00_RS08105	ABA1_RS08850	BJAB0715_RS09205	IOMTU433_RS10135	Aba3207_RS00885	RU84_RS09155	AB895_RS16635	C2U32_RS04510	P795_RS09190	
1881	19	co-chaperone protein HscB	7978mff	ACX60_RS09800	0		ACX60_RS09800	ABD1_RS08295	RR41_RS12330	AB987_RS17370	BS103_RS08205	B7L46_RS17695	IX88_RS09915	A4U85_RS09450	ABCIP7010_RS08160	KAB07_RS08660	LX00_RS08100	ABA1_RS08845	BJAB0715_RS09200	IOMTU433_RS10140	Aba3207_RS00880	RU84_RS09160	AB895_RS16630	C2U32_RS04505	P795_RS09195	
1882	19	Fe-S protein assembly chaperone HscA	LAC4b	RR41_RS12325	0		ACX60_RS09805	ABD1_RS08290	RR41_RS12325	AB987_RS17375	BS103_RS08200	B7L46_RS17690	IX88_RS09910	A4U85_RS09455	ABCIP7010_RS08155	KAB07_RS08655	LX00_RS08095	ABA1_RS08840	BJAB0715_RS09195	IOMTU433_RS10145	Aba3207_RS00875	RU84_RS09165	AB895_RS16625	C2U32_RS04500	P795_RS09200	
1883	19	ISC system 2Fe-2S type ferredoxin	7978mff	ACX60_RS09810	0		ACX60_RS09810	ABD1_RS08285	RR41_RS12320	AB987_RS17380	BS103_RS08195	B7L46_RS17685	IX88_RS09905	A4U85_RS09460	ABCIP7010_RS08150	KAB07_RS08650	LX00_RS08090	ABA1_RS08835	BJAB0715_RS09190	IOMTU433_RS10150	Aba3207_RS00870	RU84_RS09170	AB895_RS16620	C2U32_RS04495	P795_RS09205	
1884	18	guanylate cyclase	7978mff	ACX60_RS09815	0		ACX60_RS09815	ABD1_RS08280	RR41_RS12315	AB987_RS17385	BS103_RS08190	B7L46_RS17680	IX88_RS09900	A4U85_RS09465	ABCIP7010_RS08145	KAB07_RS08645	LX00_RS08085	ABA1_RS08830	BJAB0715_RS09185	IOMTU433_RS10155	Aba3207_RS00865	RU84_RS09175	AB895_RS16615	C2U32_RS04490		
1885	19	HIT domain-containing protein	7978mff	ACX60_RS09820	0		ACX60_RS09820	ABD1_RS08275	RR41_RS12310	AB987_RS17390	BS103_RS08185	B7L46_RS17675	IX88_RS09895	A4U85_RS09470	ABCIP7010_RS08140	KAB07_RS08640	LX00_RS08080	ABA1_RS08825	BJAB0715_RS09180	IOMTU433_RS10160	Aba3207_RS00860	RU84_RS09180	AB895_RS16610	C2U32_RS04485	P795_RS09215	
1886	19	transcription-repair coupling factor	KAB07	KAB07_RS08635	0		ACX60_RS09825	ABD1_RS08270	RR41_RS12305	AB987_RS17395	BS103_RS08180	B7L46_RS17670	IX88_RS09890	A4U85_RS09475	ABCIP7010_RS08135	KAB07_RS08635	LX00_RS08075	ABA1_RS08820	BJAB0715_RS09175	IOMTU433_RS10165	Aba3207_RS00855	RU84_RS09185	AB895_RS16605	C2U32_RS04480	P795_RS09220	
1887	19	hypothetical protein	1279779	ABD1_RS08265	0		ACX60_RS09830	ABD1_RS08265	RR41_RS12295	AB987_RS17400	BS103_RS08175	B7L46_RS17665	IX88_RS09885	A4U85_RS09480	ABCIP7010_RS08130	KAB07_RS08630	LX00_RS08070	ABA1_RS08815	BJAB0715_RS09170	IOMTU433_RS10170	Aba3207_RS00850	RU84_RS09190	AB895_RS16600	C2U32_RS04475	P795_RS09225	
1888	19	peroxidase	LAC4b	RR41_RS12290	0		ACX60_RS09835	ABD1_RS08260	RR41_RS12290	AB987_RS17405	BS103_RS08170	B7L46_RS17660	IX88_RS09880	A4U85_RS09485	ABCIP7010_RS08125	KAB07_RS08625	LX00_RS08065	ABA1_RS08810	BJAB0715_RS09165	IOMTU433_RS10175	Aba3207_RS00845	RU84_RS09195	AB895_RS16595	C2U32_RS04470	P795_RS09230	
1889	19	glutathione S-transferase	KAB07	KAB07_RS08620	0		ACX60_RS09840	ABD1_RS08255	RR41_RS12285	AB987_RS17410	BS103_RS08165	B7L46_RS17655	IX88_RS09875	A4U85_RS09490	ABCIP7010_RS08120	KAB07_RS08620	LX00_RS08060	ABA1_RS08805	BJAB0715_RS09160	IOMTU433_RS10180	Aba3207_RS00840	RU84_RS09200	AB895_RS16590	C2U32_RS04465	P795_RS09235	
1890	19	ribonuclease	7978mff	ACX60_RS09845	0		ACX60_RS09845	ABD1_RS08250	RR41_RS12280	AB987_RS17415	BS103_RS08160	B7L46_RS17650	IX88_RS09870	A4U85_RS09495	ABCIP7010_RS08115	KAB07_RS08615	LX00_RS08055	ABA1_RS08800	BJAB0715_RS09155	IOMTU433_RS10185	Aba3207_RS00835	RU84_RS09205	AB895_RS16585	C2U32_RS04460	P795_RS09240	
1891	19	hypothetical protein	1279779	ABD1_RS08245	0		ACX60_RS09850	ABD1_RS08245	RR41_RS12275	AB987_RS17420	BS103_RS08155	B7L46_RS17645	IX88_RS09865	A4U85_RS09500	ABCIP7010_RS08110	KAB07_RS08610	LX00_RS08050	ABA1_RS08795	BJAB0715_RS09150	IOMTU433_RS10190	Aba3207_RS00830	RU84_RS09210	AB895_RS16580	C2U32_RS04455	P795_RS09245	
1892	19	30S ribosomal protein S20	7978mff	ACX60_RS09855	0		ACX60_RS09855	ABD1_RS08240	RR41_RS12270	AB987_RS17425	BS103_RS08150	B7L46_RS17640	IX88_RS09860	A4U85_RS09505	ABCIP7010_RS08105	KAB07_RS08605	LX00_RS08045	ABA1_RS08790	BJAB0715_RS09145	IOMTU433_RS10195	Aba3207_RS00825	RU84_RS09215	AB895_RS16575	C2U32_RS04450	P795_RS09250	
1893	19	phosphoglycerate mutase family protein	7978mff	ACX60_RS09860	0		ACX60_RS09860	ABD1_RS08235	RR41_RS12265	AB987_RS17430	BS103_RS08145	B7L46_RS17635	IX88_RS09855	A4U85_RS09510	ABCIP7010_RS08100	KAB07_RS08600	LX00_RS08040	ABA1_RS08785	BJAB0715_RS09140	IOMTU433_RS10200	Aba3207_RS00820	RU84_RS09220	AB895_RS16570	C2U32_RS04445	P795_RS09255	
1894	18	3'(2'),5'-bisphosphate nucleotidase CysQ	LAC4b	RR41_RS12260	0		ACX60_RS09865	ABD1_RS08230	RR41_RS12260	AB987_RS17435	BS103_RS08140	B7L46_RS17630	IX88_RS09850	A4U85_RS09515	ABCIP7010_RS08095		LX00_RS08035	ABA1_RS08780	BJAB0715_RS09135	IOMTU433_RS10205	Aba3207_RS00815	RU84_RS09225	AB895_RS16565	C2U32_RS04440	P795_RS09260	
1895	19	hypothetical protein	7978mff	ACX60_RS09870	0	FG-In	ACX60_RS09870	ABD1_RS08225	RR41_RS12255	AB987_RS17440	BS103_RS08135	B7L46_RS17625	IX88_RS09845	A4U85_RS09520	ABCIP7010_RS08090	KAB07_RS08590	LX00_RS08030	ABA1_RS08775	BJAB0715_RS09130	IOMTU433_RS10210	Aba3207_RS00810	RU84_RS09230	AB895_RS16560	C2U32_RS04435	P795_RS09265	
1896	19	DUF159 family protein	1279779	ABD1_RS08220	0		ACX60_RS09875	ABD1_RS08220	RR41_RS12250	AB987_RS17455	BS103_RS08130	B7L46_RS17620	IX88_RS09840	A4U85_RS09525	ABCIP7010_RS08085	KAB07_RS08585	LX00_RS08025	ABA1_RS08770	BJAB0715_RS09125	IOMTU433_RS10215	Aba3207_RS00805	RU84_RS09235	AB895_RS16555	C2U32_RS04430	P795_RS09270	
1897	19	ABC transporter ATP-binding protein	B8300	AB987_RS17460	0		ACX60_RS09880	ABD1_RS08215	RR41_RS12245	AB987_RS17460	BS103_RS08125	B7L46_RS17615	IX88_RS09835	A4U85_RS09530	ABCIP7010_RS08080	KAB07_RS08580	LX00_RS08020	ABA1_RS08765	BJAB0715_RS09120	IOMTU433_RS10220	Aba3207_RS00800	RU84_RS09240	AB895_RS16550	C2U32_RS04425	P795_RS09275	
1898	18	ABC transporter permease	ab736	A4U85_RS09535	0		ACX60_RS09885	ABD1_RS08210	RR41_RS12240	AB987_RS17465	BS103_RS08120	B7L46_RS17610	IX88_RS09830	A4U85_RS09535		KAB07_RS08575	LX00_RS08015	ABA1_RS08760	BJAB0715_RS09115	IOMTU433_RS10225	Aba3207_RS00795	RU84_RS09245	AB895_RS16545	C2U32_RS04420	P795_RS09280	
1899	19	ABC transporter permease	A1296	BS103_RS08115	0		ACX60_RS09890	ABD1_RS08205	RR41_RS12235	AB987_RS17470	BS103_RS08115	B7L46_RS17605	IX88_RS09825	A4U85_RS09540	ABCIP7010_RS08070	KAB07_RS08570	LX00_RS08010	ABA1_RS08755	BJAB0715_RS09110	IOMTU433_RS10230	Aba3207_RS00790	RU84_RS09250	AB895_RS16540	C2U32_RS04415	P795_RS09285	
1900	19	Zn-dependent oligopeptidase	6200	RU84_RS09255	0		ACX60_RS09895	ABD1_RS08200	RR41_RS12230	AB987_RS17475	BS103_RS08110	B7L46_RS17600	IX88_RS09820	A4U85_RS09545	ABCIP7010_RS08065	KAB07_RS08565	LX00_RS08005	ABA1_RS08750	BJAB0715_RS09105	IOMTU433_RS10235	Aba3207_RS00785	RU84_RS09255	AB895_RS16535	C2U32_RS04410	P795_RS09290	
1901	19	heme-binding protein	ab736	A4U85_RS09550	0		ACX60_RS09900	ABD1_RS08195	RR41_RS12225	AB987_RS17480	BS103_RS08105	B7L46_RS17595	IX88_RS09815	A4U85_RS09550	ABCIP7010_RS08060	KAB07_RS08560	LX00_RS08000	ABA1_RS08745	BJAB0715_RS09100	IOMTU433_RS10240	Aba3207_RS00780	RU84_RS09260	AB895_RS16530	C2U32_RS04405	P795_RS09295	
1902	19	heme-binding protein	6200	RU84_RS09265	0		ACX60_RS09905	ABD1_RS08190	RR41_RS12220	AB987_RS17485	BS103_RS08100	B7L46_RS17590	IX88_RS09810	A4U85_RS09555	ABCIP7010_RS08055	KAB07_RS08555	LX00_RS07995	ABA1_RS08740	BJAB0715_RS09095	IOMTU433_RS10245	Aba3207_RS00775	RU84_RS09265	AB895_RS16525	C2U32_RS04400	P795_RS09300	
1903	18	TonB-dependent receptor	HWBA8	B7L46_RS17585	0		ACX60_RS09910	ABD1_RS08185	RR41_RS12215	AB987_RS17490	BS103_RS08095	B7L46_RS17585	IX88_RS09805	A4U85_RS09560	ABCIP7010_RS08050		LX00_RS07990	ABA1_RS08735	BJAB0715_RS09090	IOMTU433_RS10250	Aba3207_RS00770	RU84_RS09270	AB895_RS16520	C2U32_RS04390	P795_RS09305	
1904	19	energy transducer TonB	7978mff	ACX60_RS09915	0		ACX60_RS09915	ABD1_RS08180	RR41_RS12210	AB987_RS17495	BS103_RS08090	B7L46_RS17580	IX88_RS09800	A4U85_RS09565	ABCIP7010_RS08045	KAB07_RS08545	LX00_RS07985	ABA1_RS08730	BJAB0715_RS09085	IOMTU433_RS10255	Aba3207_RS00765	RU84_RS09275	AB895_RS16515	C2U32_RS04385	P795_RS09310	
1905	19	MotA/TolQ/ExbB proton channel family protein	7978mff	ACX60_RS09920	0		ACX60_RS09920	ABD1_RS08175	RR41_RS12205	AB987_RS17500	BS103_RS08085	B7L46_RS17575	IX88_RS09795	A4U85_RS09570	ABCIP7010_RS08040	KAB07_RS08540	LX00_RS07980	ABA1_RS08725	BJAB0715_RS09080	IOMTU433_RS10260	Aba3207_RS00760	RU84_RS09280	AB895_RS16510	C2U32_RS04380	P795_RS09315	
1906	19	biopolymer transporter ExbD	1279779	ABD1_RS08170	0		ACX60_RS09925	ABD1_RS08170	RR41_RS12200	AB987_RS17505	BS103_RS08080	B7L46_RS17570	IX88_RS09790	A4U85_RS09575	ABCIP7010_RS08035	KAB07_RS08535	LX00_RS07975	ABA1_RS08720	BJAB0715_RS09075	IOMTU433_RS10265	Aba3207_RS00755	RU84_RS09285	AB895_RS16505	C2U32_RS04375	P795_RS09320	
1907	19	biopolymer transporter ExbD	7978mff	ACX60_RS09930	0		ACX60_RS09930	ABD1_RS08165	RR41_RS12195	AB987_RS17510	BS103_RS08075	B7L46_RS17565	IX88_RS09785	A4U85_RS09580	ABCIP7010_RS08030	KAB07_RS08530	LX00_RS07970	ABA1_RS08715	BJAB0715_RS09070	IOMTU433_RS10270	Aba3207_RS00750	RU84_RS09290	AB895_RS16500	C2U32_RS04370	P795_RS09325	
1908	19	hypothetical protein	B8300	AB987_RS17515	0		ACX60_RS09935	ABD1_RS08160	RR41_RS12190	AB987_RS17515	BS103_RS08070	B7L46_RS17560	IX88_RS18255	A4U85_RS09585	ABCIP7010_RS08025	KAB07_RS08525	LX00_RS07965	ABA1_RS08710	BJAB0715_RS09065	IOMTU433_RS20195	Aba3207_RS00745	RU84_RS19585	AB895_RS16495	C2U32_RS04365	P795_RS18575	
1909	19	malate synthase G	7978mff	ACX60_RS09940	0		ACX60_RS09940	ABD1_RS08155	RR41_RS12185	AB987_RS17520	BS103_RS08065	B7L46_RS17555	IX88_RS09780	A4U85_RS09590	ABCIP7010_RS08020	KAB07_RS08520	LX00_RS07960	ABA1_RS08705	BJAB0715_RS09060	IOMTU433_RS10275	Aba3207_RS00740	RU84_RS09295	AB895_RS16490	C2U32_RS04360	P795_RS09330	
1911	3	hypothetical protein	B8342	AB895_RS16485	0		ACX60_RS09950														Aba3207_RS00735		AB895_RS16485			
1912	4	lysozyme	B8342	AB895_RS16480	0		ACX60_RS09955												BJAB0715_RS12155		Aba3207_RS00730		AB895_RS16480			
1916	4	hypothetical protein	A1	ABA1_RS15010	0		ACX60_RS09975											ABA1_RS15010		IOMTU433_RS05095		RU84_RS14025				
